date,nav_net,nav_gross
2019-09-30,126168.80447677859,132404.7508475588
2019-10-01,126155.90183988334,132391.84821066356
2019-10-02,126208.26539195124,132444.21176273146
2019-10-03,126901.62527139786,133137.57164217808
2019-10-04,127601.765141889,133837.71151266922
2019-10-07,126863.00829876737,133098.9546695476
2019-10-08,126858.17073788357,133094.11710866378
2019-10-09,127073.1171954276,133309.0635662078
2019-10-10,126625.54497018027,132861.49134096046
2019-10-11,126147.40909133191,132383.35546211211
2019-10-14,126372.72021735387,132608.66658813407
2019-10-15,125981.04247877248,132216.9888495527
2019-10-16,126324.04730006953,132559.99367084977
2019-10-17,126475.16691115966,132711.11328193988
2019-10-18,126501.0435655709,132736.98993635114
2019-10-21,126238.17809729738,132474.1244680776
2019-10-22,126094.36408259884,132330.31045337906
2019-10-23,126268.18556121274,132504.13193199295
2019-10-24,126567.39388861162,132803.34025939184
2019-10-25,126364.08875337502,132600.03512415523
2019-10-28,125835.97874855611,132071.92511933632
2019-10-29,125897.29162077646,132133.23799155667
2019-10-30,126562.82854025655,132798.77491103674
2019-10-31,127177.36092806353,133413.30729884372
2019-11-01,127155.66882823658,133391.6151990168
2019-11-04,126512.45836179302,132748.40473257322
2019-11-05,125395.59920810208,131631.5455788823
2019-11-06,125927.59535383622,132163.54172461646
2019-11-07,124915.94175098906,131151.8881217693
2019-11-08,124584.24289172416,130820.1892625044
2019-11-11,124451.86407358611,130687.81044436635
2019-11-12,124607.36523562126,130843.31160640149
2019-11-13,125130.20633312625,131366.1527039065
2019-11-14,125614.26337826777,131850.20974904802
2019-11-15,125682.0620745459,131918.00844532615
2019-11-18,125982.14461483838,132218.09098561865
2019-11-19,126135.58697313267,132371.53334391295
2019-11-20,126271.76794527187,132507.71431605215
2019-11-21,125733.935771125,131969.88214190528
2019-11-22,125733.67238054276,131969.61875132308
2019-11-25,125908.73969483396,132144.68606561428
2019-11-26,126526.46371337802,132762.41008415833
2019-11-27,126549.36545267922,132785.31182345955
2019-11-29,126278.4374424231,132514.38381320346
2019-12-02,125612.33198321046,131848.2783539908
2019-12-03,126028.05875404121,132264.00512482156
2019-12-04,126086.35596248797,132322.30233326834
2019-12-05,126046.08013386678,132282.02650464716
2019-12-06,126106.69234943105,132342.63872021143
2019-12-09,126011.44468107326,132247.39105185366
2019-12-10,125869.34225740303,132105.28862818342
2019-12-11,126120.72906919644,132356.67543997683
2019-12-12,125777.21612028683,132013.1624910672
2019-12-13,126302.37686374325,132538.32323452362
2019-12-16,125929.08187406388,132165.02824484426
2019-12-17,125895.75530753352,132131.7016783139
2019-12-18,125696.14964966965,131932.09602045003
2019-12-19,125998.70635803518,132234.65272881556
2019-12-20,126357.81013280472,132593.7565035851
2019-12-23,126088.73375443932,132324.6801252197
2019-12-24,126146.39088358007,132382.33725436043
2019-12-26,126328.98156823435,132564.9279390147
2019-12-27,126429.09542463298,132665.04179541336
2019-12-30,126360.26368968497,132596.21006046535
2019-12-31,123867.78616248362,132850.62264850843
2020-01-02,124352.88583081316,133335.72231683796
2020-01-03,125238.77789688177,134221.61438290655
2020-01-06,126004.14603048911,134986.9825165139
2020-01-07,126001.84958199105,134984.68606801584
2020-01-08,125643.99090909133,134626.82739511612
2020-01-09,125669.9921754182,134652.828661443
2020-01-10,126031.58409624401,135014.4205822688
2020-01-13,125932.62069219713,134915.4571782219
2020-01-14,125836.4752141494,134819.31170017418
2020-01-15,126655.93581647209,135638.7723024969
2020-01-16,127044.31323290504,136027.14971892984
2020-01-17,127442.97507118934,136425.81155721415
2020-01-21,127677.43658928087,136660.27307530568
2020-01-22,127815.01053291831,136797.84701894314
2020-01-23,128115.27840452729,137098.1148905521
